"Report Written:","Thursday, November 16, 2017"
"Project Path:","C:\Users\Loz\SkyDrive\documents\amateur radio\SDR\antenna switch\sdr antenna switch.prj"
"Design Path:","C:\Users\Loz\SkyDrive\documents\amateur radio\SDR\antenna switch\sdr antenna switch.pcb"
"Design Title:","SDR Antenna Switch / routing"
"Created:","21/04/2017 16:43:58"
"Last Saved:","16/11/2017 20:34:04"
"Editing Time:","2034 min"
"Units:","thou (precision 1)"

Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb
--------------------------------------------------------------------------


"Ref Name","Qty","Component","Value","Package","Manufacturer","MPN","RS Part Number","Other Part Number","Description"
"D19","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D20","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D21","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D22","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D23","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D24","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D25","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D26","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D27","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D28","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
"D29","1","1N4148WS","","SODFL2512X100N","Fairchild Semiconductor","1N4148WS","7613476P","","Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
