Report Written:,"Friday, November 24, 2017",,,,,,,,
Project Path:,C:\Users\Loz\SkyDrive\documents\amateur radio\SDR\lowpass filters\lowpass filter board.prj,,,,,,,,
Design Path:,C:\Users\Loz\SkyDrive\documents\amateur radio\SDR\lowpass filters\lowpass filter board.pcb,,,,,,,,
Design Title:,,,,,,,,,
Created:,01/10/2017 17:48,,,,,,,,
Last Saved:,19/11/2017 22:10,,,,,,,,
Editing Time:,774 min,,,,,,,,
Units:,thou (precision 0),,,,,,,,
,,,,,,,,,
Bill of Materials generated with DesignSpark PCB - www.DesignSpark.com/pcb,,,,,,,,,
--------------------------------------------------------------------------,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Ref Name,Qty,Component,Value,Package,Manufacturer,MPN,RS Part Number,Other Part Number,Description
D1,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D2,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D3,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D4,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D5,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D6,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
D7,1,1N4148WS,,SODFL2512X100N,Fairchild Semiconductor,1N4148WS,7613476P,,"Diode Switching 75V 0.15A SOD323F Fairchild 1N4148WS Switching Diode, 300mA 75V, 2-Pin SOD-323"
SK3,1,2516-6002,,3MMH-16,,,,,Hdr Male Mount
C25,1,Capacitor,62pF,MICA1,,,,,Capacitor
C28,1,Capacitor,62pF,MICA1,,,,,Capacitor
C29,1,Capacitor,100nF,805,,,,,Capacitor
C30,1,Capacitor,100nF,805,,,,,Capacitor
C31,1,Capacitor,100nF,805,,,,,Capacitor
C32,1,Capacitor,100nF,805,,,,,Capacitor
C33,1,Capacitor,100nF,805,,,,,Capacitor
C34,1,Capacitor,100nF,805,,,,,Capacitor
C35,1,Capacitor,100nF,805,,,,,Capacitor
C21,1,Capacitor,100pF,MICA1,,,,,Capacitor
C24,1,Capacitor,100pF,MICA1,,,,,Capacitor
C26,1,Capacitor,110pF,MICA1,,,,,Capacitor
C27,1,Capacitor,110pF,MICA1,,,,,Capacitor
C17,1,Capacitor,150pF,MICA1,,,,,Capacitor
C20,1,Capacitor,150pF,MICA1,,,,,Capacitor
C22,1,Capacitor,180pF,MICA1,,,,,Capacitor
C23,1,Capacitor,180pF,MICA1,,,,,Capacitor
C13,1,Capacitor,220pF,MICA1,,,,,Capacitor
C16,1,Capacitor,220pF,MICA1,,,,,Capacitor
